VendorID;tpep_pickup_datetime;tpep_dropoff_datetime;passenger_count;trip_distance;RatecodeID;store_and_fwd_flag;PULocationID;DOLocationID;payment_type;fare_amount;extra;mta_tax;tip_amount;tolls_amount;improvement_surcharge;total_amount;congestion_surcharge;Airport_fee
1;2023-10-01T00:16:44.000;2023-10-01T00:16:49.000;1;0.0;1;N;168;168;2;3.0;1.0;0.5;0.0;0.0;1.0;5.5;0.0;0.0
1;2023-10-01T00:23:24.000;2023-10-01T00:23:47.000;1;0.0;1;N;168;168;2;3.0;1.0;0.5;0.0;0.0;1.0;5.5;0.0;0.0
1;2023-10-01T00:21:18.000;2023-10-01T00:27:31.000;1;0.9;1;N;161;186;1;6.5;3.5;0.5;2.9;0.0;1.0;14.4;2.5;0.0
1;2023-10-01T00:17:39.000;2023-10-01T00:17:47.000;0;0.0;1;N;255;255;3;3.0;1.0;0.5;0.0;0.0;1.0;5.5;0.0;0.0
2;2023-10-01T00:16:15.000;2023-10-01T00:22:57.000;2;1.41;1;N;151;239;1;10.0;1.0;0.5;3.0;0.0;1.0;18.0;2.5;0.0
2;2023-10-01T00:33:14.000;2023-10-01T00:52:12.000;1;3.15;1;N;238;246;1;19.8;1.0;0.5;4.46;0.0;1.0;29.26;2.5;0.0
2;2023-10-01T00:58:18.000;2023-10-01T01:01:20.000;2;0.67;1;N;50;50;1;5.8;1.0;0.5;2.16;0.0;1.0;12.96;2.5;0.0
2;2023-10-01T00:11:29.000;2023-10-01T00:32:55.000;2;14.93;1;N;208;239;1;37.3;1.0;0.5;14.77;6.94;1.0;65.76;2.5;1.75
1;2023-10-01T00:22:33.000;2023-10-01T00:34:00.000;0;3.2;1;N;87;249;1;16.3;3.5;0.5;4.25;0.0;1.0;25.55;2.5;0.0
1;2023-10-01T00:39:47.000;2023-10-01T00:48:48.000;1;1.3;1;N;125;231;1;10.0;3.5;0.5;2.0;0.0;1.0;17.0;2.5;0.0
1;2023-10-01T00:51:54.000;2023-10-01T00:57:12.000;0;1.0;1;N;144;13;1;7.9;3.5;0.5;0.0;0.0;1.0;12.9;2.5;0.0
2;2023-10-01T00:11:49.000;2023-10-01T00:33:31.000;1;2.52;1;N;232;158;1;19.1;1.0;0.5;4.82;0.0;1.0;28.92;2.5;0.0
2;2023-10-01T00:51:42.000;2023-10-01T01:02:51.000;2;4.04;1;N;161;42;1;17.7;1.0;0.5;4.54;0.0;1.0;27.24;2.5;0.0
2;2023-10-01T00:16:19.000;2023-10-01T00:27:27.000;1;1.7;1;N;148;170;1;11.4;1.0;0.5;3.28;0.0;1.0;19.68;2.5;0.0
2;2023-10-01T00:39:02.000;2023-10-01T00:46:09.000;1;1.98;1;N;230;140;1;10.7;1.0;0.5;2.0;0.0;1.0;17.7;2.5;0.0
1;2023-10-01T00:22:11.000;2023-10-01T00:37:00.000;1;1.8;1;N;164;79;1;14.9;3.5;0.5;2.0;0.0;1.0;21.9;2.5;0.0
1;2023-10-01T00:45:36.000;2023-10-01T00:50:25.000;1;1.7;1;N;148;65;1;9.3;3.5;0.5;2.85;0.0;1.0;17.15;2.5;0.0
2;2023-10-01T00:02:46.000;2023-10-01T00:09:52.000;1;1.88;1;N;142;236;1;10.7;1.0;0.5;2.36;0.0;1.0;18.06;2.5;0.0
2;2023-10-01T00:35:39.000;2023-10-01T00:51:02.000;1;2.86;1;N;238;42;1;17.7;1.0;0.5;4.04;0.0;1.0;24.24;0.0;0.0
2;2023-09-30T23:59:49.000;2023-10-01T00:21:59.000;1;3.8;1;N;249;52;1;23.3;1.0;0.5;5.66;0.0;1.0;33.96;2.5;0.0
2;2023-10-01T00:44:36.000;2023-10-01T00:55:23.000;1;1.71;1;N;211;79;1;12.1;1.0;0.5;1.8;0.0;1.0;18.9;2.5;0.0
2;2023-10-01T00:56:58.000;2023-10-01T01:07:56.000;1;2.44;1;N;79;229;1;13.5;1.0;0.5;3.7;0.0;1.0;22.2;2.5;0.0
2;2023-10-01T00:47:27.000;2023-10-01T00:58:03.000;2;1.58;1;N;142;229;1;11.4;1.0;0.5;3.28;0.0;1.0;19.68;2.5;0.0
2;2023-09-30T23:46:39.000;2023-09-30T23:53:52.000;1;1.06;1;N;144;125;1;8.6;1.0;0.5;2.04;0.0;1.0;15.64;2.5;0.0
2;2023-10-01T00:13:57.000;2023-10-01T00:21:47.000;1;1.38;1;N;79;90;1;9.3;1.0;0.5;2.86;0.0;1.0;17.16;2.5;0.0
2;2023-10-01T00:24:02.000;2023-10-01T00:34:08.000;1;2.48;1;N;90;50;1;13.5;1.0;0.5;3.7;0.0;1.0;22.2;2.5;0.0
2;2023-10-01T00:38:35.000;2023-10-01T00:41:34.000;1;0.68;1;N;50;246;1;5.8;1.0;0.5;1.08;0.0;1.0;11.88;2.5;0.0
2;2023-10-01T00:45:23.000;2023-10-01T01:10:34.000;1;15.88;1;N;246;183;1;59.7;1.0;0.5;12.94;0.0;1.0;77.64;2.5;0.0
1;2023-10-01T00:19:17.000;2023-10-01T00:39:26.000;1;4.2;1;N;48;179;1;19.8;3.5;0.5;6.2;0.0;1.0;31.0;2.5;0.0
2;2023-10-01T00:21:33.000;2023-10-01T00:48:03.000;1;4.91;1;N;211;143;1;28.2;1.0;0.5;6.64;0.0;1.0;39.84;2.5;0.0
